Time,Pitch,Roll,Yaw,xGyro,yGyro,ZGyro,xAcc,yAcc,zAcc,latitude,longitude,alt,xSpeed,ySpeed,zSpeed,cP,cR,cY,cPower,PosXError,PosYError
81452674.0000000000,0.0000000000,-1.1880000000,-0.0000000000,0.3125000000,-0.3750000000,2.8750000000,-0.6000000000,-0.2000000000,-0.1900000000,47.2228599000,8.8189446000,0.5300000000,0.0000000000,0.0000000000,0.0000000000,0.4687500000,1.5630000000,-2.8750000000,-4.2000000000,0.4525633512,-0.4736903878
81944560.0000000000,0.0000000000,-1.1880000000,0.0625000000,0.0000000000,0.0625000000,0.8750000000,0.3500000000,-0.1500000000,-0.1600000000,47.2228599000,8.8189446000,0.5300000000,0.0000000000,0.0000000000,0.0000000000,-7.0000000000,-3.8745000000,-0.9375000000,-4.2000000000,0.4525633512,-0.4736903878
81952564.0000000000,0.0000000000,-1.1880000000,0.0625000000,0.0000000000,-0.3750000000,0.3750000000,0.5500000000,-0.3600000000,-0.1400000000,47.2228599000,8.8189446000,0.5400000000,0.0045000169,-0.0028066666,0.1249922786,-7.0000000000,-3.4370000000,-0.4375000000,-6.0499227859,0.4525633512,-0.4736903878
81963966.0000000000,0.0000000000,-1.1880000000,0.0625000000,0.0625000000,-0.3125000000,0.0000000000,-0.0400000000,0.1100000000,-0.1300000000,47.2228599000,8.8189446000,0.5400000000,0.0042055524,-0.0014714519,0.1126736584,-6.9062500000,-3.4995000000,-0.0625000000,-5.9267365841,0.4525633512,-0.4736903878
81975068.0000000000,0.0000000000,-1.1880000000,0.0625000000,0.1250000000,-0.2500000000,-0.3125000000,-0.7300000000,0.0500000000,-0.1700000000,47.2228599000,8.8189446000,0.5400000000,-0.0036631800,-0.0008434407,0.1011824763,-6.8125000000,-3.5620000000,0.2500000000,-5.8118247625,0.4525633512,-0.4736903878
81987703.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.2500000000,-0.2500000000,-0.5000000000,-0.4600000000,0.1700000000,-0.1600000000,47.2228599000,8.8189446000,0.5500000000,-0.0091566224,0.0013640144,0.1700684535,-7.3750000000,-3.5620000000,0.4375000000,-7.1006845353,0.4525633512,-0.4736903878
82001780.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.3125000000,0.0625000000,-0.4375000000,0.7100000000,-0.3100000000,-0.1500000000,47.2228599000,8.8189446000,0.5500000000,0.0010791257,-0.0028890269,0.1530312019,-7.4687500000,-3.8745000000,0.3750000000,-6.9303120186,0.4525633512,-0.4736903878
82013786.0000000000,0.0000000000,-1.1880000000,0.0625000000,0.2500000000,0.0625000000,-0.2500000000,0.6200000000,-0.1400000000,-0.0500000000,47.2228599000,8.8189446000,0.5400000000,0.0086503755,-0.0044552298,0.0554910012,-6.6250000000,-3.8745000000,0.1875000000,-5.3549100122,0.4525633512,-0.4736903878
82024526.0000000000,0.0000000000,-1.1880000000,0.0625000000,0.1875000000,-0.1875000000,0.1250000000,-0.0700000000,0.1600000000,-0.2200000000,47.2228599000,8.8189446000,0.5300000000,0.0080099133,-0.0026477924,-0.0438677869,-6.7187500000,-3.6245000000,-0.1875000000,-3.7613221305,0.4525633512,-0.4736903878
82032529.0000000000,0.0000000000,-1.1880000000,0.0625000000,0.0000000000,-0.0000000000,0.5625000000,-0.5400000000,0.2500000000,-0.1900000000,47.2228599000,8.8189446000,0.5400000000,0.0037932315,-0.0005946188,0.0851667398,-7.0000000000,-3.8120000000,-0.6250000000,-5.6516673984,0.4525633512,-0.4736903878
82041162.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.0625000000,-0.0625000000,0.5000000000,0.1800000000,-0.2000000000,-0.0300000000,47.2228599000,8.8189446000,0.5300000000,0.0054466852,-0.0022484359,-0.0382708056,-7.0937500000,-3.7495000000,-0.5625000000,-3.8172919437,0.4525633512,-0.4736903878
82049164.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.0625000000,-0.0625000000,0.5000000000,-0.3300000000,0.1000000000,-0.1400000000,47.2228599000,8.8189446000,0.5400000000,0.0029197684,-0.0013878060,0.0905797664,-7.0937500000,-3.7495000000,-0.5625000000,-5.7057976642,0.4525633512,-0.4736903878
82058232.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.2500000000,-0.1250000000,0.1875000000,-0.3300000000,0.1000000000,-0.1400000000,47.2228599000,8.8189446000,0.5300000000,0.0000887491,-0.0004241275,-0.0286940854,-7.3750000000,-3.6870000000,-0.2500000000,-3.9130591459,0.4525633512,-0.4736903878
82068348.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.1875000000,-0.1250000000,-0.5625000000,-0.3600000000,0.0100000000,-0.1300000000,47.2228599000,8.8189446000,0.5300000000,-0.0033382151,-0.0002616518,-0.0256644394,-7.2812500000,-3.6870000000,0.5000000000,-3.9433556057,0.4525633512,-0.4736903878
82076352.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.1875000000,0.0625000000,-0.7500000000,0.0400000000,-0.3100000000,0.0600000000,47.2228599000,8.8189446000,0.5300000000,-0.0028460357,-0.0026695039,-0.0216025281,-7.2812500000,-3.8745000000,0.6875000000,-3.9839747187,0.4525633512,-0.4736903878
82085347.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.0625000000,0.1250000000,-0.3125000000,0.3200000000,0.0800000000,-0.1600000000,47.2228599000,8.8189446000,0.5300000000,0.0001914411,-0.0018787556,-0.0195426595,-7.0937500000,-3.9370000000,0.2500000000,-4.0045734049,0.4525633512,-0.4736903878
82093350.0000000000,0.0000000000,-1.1880000000,0.0625000000,0.0000000000,-0.0000000000,0.1875000000,0.2300000000,0.0200000000,-0.1300000000,47.2228599000,8.8189446000,0.5300000000,0.0021536309,-0.0016555554,-0.0174616260,-7.0000000000,-3.8120000000,-0.2500000000,-4.0253837396,0.4525633512,-0.4736903878
82101354.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.1875000000,0.0625000000,1.0625000000,-0.1700000000,0.0700000000,-0.1900000000,47.2228599000,8.8189446000,0.5300000000,0.0009268603,-0.0010383637,-0.0160208961,-7.2812500000,-3.8745000000,-1.1250000000,-4.0397910392,0.4525633512,-0.4736903878
82109447.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.1875000000,0.0625000000,1.0625000000,0.1700000000,-0.0600000000,-0.1200000000,47.2228599000,8.8189446000,0.5400000000,0.0024230597,-0.0014622342,0.1093457971,-7.2812500000,-3.8745000000,-1.1250000000,-5.8934579711,0.4525633512,-0.4736903878
82118486.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.0625000000,-0.3125000000,0.6875000000,0.1700000000,-0.0600000000,-0.1200000000,47.2228599000,8.8189446000,0.5400000000,0.0040802729,-0.0019326265,0.0986357462,-7.0937500000,-3.4995000000,-0.7500000000,-5.7863574616,0.4525633512,-0.4736903878
82126489.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.0625000000,-0.4375000000,0.3750000000,0.1000000000,0.0600000000,-0.1500000000,47.2228599000,8.8189446000,0.5500000000,0.0049735883,-0.0013919689,0.2137080276,-7.0937500000,-3.3745000000,-0.4375000000,-7.5370802763,0.4525633512,-0.4736903878
82134554.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.1875000000,-0.1250000000,-0.1250000000,-0.0900000000,-0.0200000000,-0.2600000000,47.2228599000,8.8189446000,0.5400000000,0.0043481808,-0.0014914269,0.0675288090,-7.2812500000,-3.6870000000,0.0625000000,-5.4752880902,0.4525633512,-0.4736903878
82142556.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.3750000000,-0.0625000000,-0.5000000000,0.0400000000,-0.2500000000,-0.2000000000,47.2228599000,8.8189446000,0.5400000000,0.0047633816,-0.0034110602,0.0603985538,-7.5625000000,-3.7495000000,0.4375000000,-5.4039855380,0.4525633512,-0.4736903878
82150559.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.3750000000,-0.0625000000,-0.5000000000,0.1900000000,0.1000000000,-0.0800000000,47.2228599000,8.8189446000,0.5400000000,0.0063629333,-0.0025386994,0.0548456009,-7.5625000000,-3.7495000000,0.4375000000,-5.3484560094,0.4525633512,-0.4736903878
82159209.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.0625000000,0.1250000000,-0.2500000000,0.1900000000,0.1000000000,-0.0800000000,47.2228599000,8.8189446000,0.5500000000,0.0080796556,-0.0016072941,0.1654942433,-7.0937500000,-3.9370000000,0.1875000000,-7.0549424326,0.4525633512,-0.4736903878
82169552.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.3125000000,-0.1875000000,0.1250000000,-0.3800000000,0.0300000000,-0.1900000000,47.2228599000,8.8189446000,0.5600000000,0.0042911107,-0.0012246445,0.2452338775,-7.4687500000,-3.6245000000,-0.1875000000,-8.4523387752,0.4525633512,-0.4736903878
82177736.0000000000,0.0000000000,-1.1880000000,0.0625000000,0.1250000000,0.1875000000,0.3750000000,0.0300000000,0.1500000000,-0.0500000000,47.2228599000,8.8189446000,0.5400000000,0.0046362931,0.0000499185,-0.0229499043,-6.8125000000,-3.9995000000,-0.4375000000,-4.5705009569,0.4525633512,-0.4736903878
82190145.0000000000,0.0000000000,-1.1880000000,0.0625000000,0.1250000000,-0.1875000000,0.5000000000,0.3400000000,-0.1000000000,-0.1900000000,47.2228599000,8.8189446000,0.5500000000,0.0089866995,-0.0011078192,0.0594582296,-6.8125000000,-3.6245000000,-0.5625000000,-5.9945822965,0.4525633512,-0.4736903878
82199220.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.0625000000,-0.1875000000,0.2500000000,0.3400000000,-0.1000000000,-0.1900000000,47.2228599000,8.8189446000,0.5400000000,0.0121122955,-0.0019430574,-0.0570267328,-7.0937500000,-3.6245000000,-0.3125000000,-4.2297326722,0.4525633512,-0.4736903878
82213275.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.1250000000,0.1875000000,-0.2500000000,-0.2800000000,-0.1900000000,-0.0100000000,47.2228599000,8.8189446000,0.5500000000,0.0083441952,-0.0044866685,0.0215655690,-7.1875000000,-3.9995000000,0.1875000000,-5.6156556897,0.4525633512,-0.4736903878
82223728.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.0625000000,0.0625000000,0.0625000000,0.3400000000,-0.1900000000,-0.2700000000,47.2228599000,8.8189446000,0.5400000000,0.0119644707,-0.0063479900,-0.0774088063,-7.0937500000,-3.8745000000,-0.1250000000,-4.0259119370,0.4525633512,-0.4736903878
82231730.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.0625000000,0.0625000000,0.0625000000,0.0200000000,-0.0300000000,-0.0700000000,47.2228599000,8.8189446000,0.5400000000,0.0121450690,-0.0064762220,-0.0691090660,-7.0937500000,-3.8745000000,-0.1250000000,-4.1089093401,0.4525633512,-0.4736903878
82244434.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.1875000000,-0.1250000000,0.1875000000,0.2100000000,-0.0500000000,-0.2500000000,47.2228599000,8.8189446000,0.5400000000,0.0148899075,-0.0069673614,-0.0633689600,-7.2812500000,-3.6870000000,-0.2500000000,-4.1663103997,0.4525633512,-0.4736903878
82254336.0000000000,0.0000000000,-1.1880000000,0.0625000000,0.0625000000,0.1250000000,0.0625000000,0.7900000000,0.2100000000,-0.3800000000,47.2228599000,8.8189446000,0.5400000000,0.0226608360,-0.0047822047,-0.0591031663,-6.9062500000,-3.9370000000,-0.1250000000,-4.2089683365,0.4525633512,-0.4736903878
82262339.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.1250000000,-0.1250000000,0.2500000000,-0.2000000000,0.0100000000,-0.1500000000,47.2228599000,8.8189446000,0.5200000000,0.0209914548,-0.0046091998,-0.3031164213,-7.1875000000,-3.6870000000,-0.3125000000,-0.5688357866,0.4525633512,-0.4736903878
82273318.0000000000,0.0000000000,-1.1880000000,0.0625000000,0.2500000000,0.1250000000,0.1250000000,0.7400000000,0.4500000000,-0.2300000000,47.2228599000,8.8189446000,0.5300000000,0.0290193145,0.0003910782,-0.1825360052,-6.6250000000,-3.9370000000,-0.1875000000,-2.3746399475,0.4525633512,-0.4736903878
82281321.0000000000,0.0000000000,-1.1880000000,0.0625000000,0.2500000000,0.1250000000,0.1250000000,0.5500000000,0.2200000000,-0.1600000000,47.2228599000,8.8189446000,0.5300000000,0.0332285760,0.0021761740,-0.1643717182,-6.6250000000,-3.9370000000,-0.1875000000,-2.5562828180,0.4525633512,-0.4736903878
82294414.0000000000,0.0000000000,-1.1880000000,0.0625000000,0.3125000000,0.0625000000,0.1250000000,0.4900000000,0.0500000000,-0.2600000000,47.2228599000,8.8189446000,0.5300000000,0.0394797256,0.0028776958,-0.1492590343,-6.5312500000,-3.8745000000,-0.1875000000,-2.7074096574,0.4525633512,-0.4736903878
82305634.0000000000,0.0000000000,-1.1880000000,0.0625000000,-0.3750000000,0.0625000000,-0.1875000000,1.0400000000,-0.4200000000,-0.2300000000,47.2228599000,8.8189446000,0.5300000000,0.0508358700,-0.0017519320,-0.1351652060,-7.5625000000,-3.8745000000,0.1250000000,-2.8483479396,0.4525633512,-0.4736903878
82314319.0000000000,0.0000000000,-1.1880000000,0.0625000000,-1.0000000000,-0.1250000000,0.0625000000,0.1100000000,-0.8100000000,-0.0400000000,47.2228599000,8.8189446000,0.5400000000,0.0514272147,-0.0086490449,-0.0056665823,-8.5000000000,-3.6870000000,-0.1250000000,-4.7433341775,0.4525633512,-0.4736903878
82322321.0000000000,0.0000000000,-1.1880000000,0.0625000000,-1.0000000000,-0.1250000000,0.0625000000,-0.6000000000,-0.4300000000,0.1000000000,47.2228599000,8.8189446000,0.5300000000,0.0463015580,-0.0119230583,-0.1282855162,-8.5000000000,-3.6870000000,-0.1250000000,-2.9171448384,0.4525633512,-0.4736903878
82335184.0000000000,0.0625000000,-1.1880000000,0.0625000000,-0.4375000000,-0.2500000000,0.3750000000,-2.0900000000,0.3600000000,-0.1000000000,47.2228599000,8.8189446000,0.5200000000,0.0194516543,-0.0071455952,-0.1926482754,-7.7437500000,-3.5620000000,-0.4375000000,-1.0735172457,0.4525633512,-0.4736903878
82343189.0000000000,0.0625000000,-1.1880000000,0.0625000000,-0.5000000000,-0.3125000000,0.1250000000,-1.0300000000,0.8400000000,-0.1500000000,47.2228599000,8.8189446000,0.5300000000,0.0112362959,-0.0003712165,-0.0484788149,-7.8375000000,-3.4995000000,-0.1875000000,-3.1152118511,0.4525633512,-0.4736903878
82351192.0000000000,0.0625000000,-1.1880000000,0.0625000000,-0.5000000000,-0.3125000000,0.1250000000,0.4000000000,0.9300000000,-0.3800000000,47.2228599000,8.8189446000,0.5400000000,0.0144349421,0.0070468110,0.0796483017,-7.8375000000,-3.4995000000,-0.1875000000,-4.9964830169,0.4525633512,-0.4736903878
82361683.0000000000,0.0625000000,-1.1880000000,0.0625000000,0.2500000000,-0.2500000000,-0.3125000000,0.3100000000,-0.8800000000,-0.0700000000,47.2228599000,8.8189446000,0.5300000000,0.0176961916,-0.0021031770,-0.0229036350,-6.7125000000,-3.5620000000,0.2500000000,-3.3709636504,0.4525633512,-0.4736903878
82370602.0000000000,0.0625000000,-1.1880000000,0.0625000000,0.1250000000,-0.0625000000,-0.1250000000,0.3100000000,-0.8800000000,-0.0700000000,47.2228599000,8.8189446000,0.5300000000,0.0204145243,-0.0098011652,-0.0199903685,-6.9000000000,-3.7495000000,0.0625000000,-3.4000963149,0.4525633512,-0.4736903878
82379358.0000000000,0.0625000000,-1.1880000000,0.0625000000,0.3125000000,-0.0000000000,-0.1250000000,-3.0900000000,0.5400000000,0.1200000000,47.2228599000,8.8189446000,0.5400000000,-0.0064199354,-0.0049719190,0.0983248640,-6.6187500000,-3.8120000000,0.0625000000,-5.1832486402,0.4525633512,-0.4736903878
82389460.0000000000,0.0625000000,-1.1880000000,0.0625000000,0.4375000000,-0.0625000000,0.0000000000,0.8800000000,0.8500000000,-0.1900000000,47.2228599000,8.8189446000,0.5400000000,0.0026241439,0.0036366389,0.0881068853,-6.4312500000,-3.7495000000,-0.0625000000,-5.0810688530,0.4525633512,-0.4736903878
82402081.0000000000,0.0625000000,-1.1880000000,0.0625000000,-0.1250000000,-0.0625000000,0.5000000000,-0.8900000000,1.1700000000,-0.2600000000,47.2228599000,8.8189446000,0.5300000000,-0.0082988039,0.0182916466,-0.0012135679,-7.2750000000,-3.7495000000,-0.5625000000,-3.5878643209,0.4525633512,-0.4736903878
82410367.0000000000,0.0625000000,-1.1880000000,0.0625000000,-0.4375000000,-0.0625000000,0.8750000000,-0.8900000000,1.1700000000,-0.2600000000,47.2228599000,8.8189446000,0.5200000000,-0.0153697743,0.0277539821,-0.1226159165,-7.7437500000,-3.7495000000,-0.9375000000,-1.7738408351,0.4525633512,-0.4736903878
82424521.0000000000,0.0625000000,-1.1880000000,0.0625000000,0.1875000000,-0.0625000000,0.3125000000,-3.5200000000,0.7200000000,0.0600000000,47.2228599000,8.8189446000,0.5300000000,-0.0642891127,0.0376466858,-0.0370583855,-6.8062500000,-3.7495000000,-0.3750000000,-3.2294161449,0.4525633512,-0.4736903878
82436176.0000000000,0.0625000000,-1.1880000000,0.0625000000,0.2500000000,-0.1250000000,-0.4375000000,-0.6500000000,-0.1400000000,-0.1800000000,47.2228599000,8.8189446000,0.5300000000,-0.0709396758,0.0357217589,-0.0336924068,-6.7125000000,-3.6870000000,0.3750000000,-3.2630759324,0.4525633512,-0.4736903878
82446912.0000000000,0.0625000000,-1.1880000000,0.0625000000,-0.1875000000,-0.5000000000,-0.4375000000,-0.1000000000,0.4900000000,-0.1000000000,47.2228599000,8.8189446000,0.5400000000,-0.0711028904,0.0406342211,0.0632813245,-7.3687500000,-3.3120000000,0.3750000000,-4.8328132451,0.4525633512,-0.4736903878
82454916.0000000000,0.0625000000,-1.1880000000,0.0625000000,0.1875000000,-0.1875000000,-0.2500000000,0.5300000000,-0.6700000000,-0.3400000000,47.2228599000,8.8189446000,0.5300000000,-0.0660503238,0.0349647846,-0.0693703118,-6.8062500000,-3.6245000000,0.1875000000,-2.9062968819,0.4525633512,-0.4736903878
82466702.0000000000,0.0625000000,-1.1880000000,0.0625000000,0.1875000000,-0.3125000000,0.4375000000,-0.8600000000,0.6100000000,0.1400000000,47.2228599000,8.8189446000,0.5400000000,-0.0752155613,0.0418003774,0.0254638356,-6.8062500000,-3.4995000000,-0.5000000000,-4.4546383557,0.4525633512,-0.4736903878
82476237.0000000000,0.0625000000,-1.1880000000,0.0625000000,0.3750000000,0.1875000000,0.6250000000,0.2300000000,-0.3900000000,0.2000000000,47.2228599000,8.8189446000,0.5300000000,-0.0721233164,0.0377556601,-0.0789763884,-6.5250000000,-3.9995000000,-0.6875000000,-2.8102361162,0.4525633512,-0.4736903878
82484241.0000000000,0.0625000000,-1.1880000000,0.0625000000,0.0625000000,-0.0000000000,0.2500000000,-1.3500000000,1.1000000000,-0.4300000000,47.2228599000,8.8189446000,0.5400000000,-0.0819575904,0.0461404185,0.0518244851,-6.9937500000,-3.8120000000,-0.3125000000,-4.7182448505,0.4525633512,-0.4736903878
